,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
10,Eli Lilly and Co BDR,LILY34,BM&FBovespa,Healthcare,Pharmaceuticals,64.48,-0.02%,1.84T,10.48K,54.91,1.31,28.01B,8.62K,6.68,0.36,6.99,-,Strong Sell,Neutral,Neutral,Strong Buy,Strong Buy,-0.02,0.17,5.39,30.10,47.75,327.59,45.09,0.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.38,38.53,-2.86,67.35,4.09%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.63,0.91,0.77,-39.72,0.00,-0.49,57.63,38.53,17.72,43.88,-61.09
11,MasterCard Inc BDR,MSCD34,BM&FBovespa,Information Technology,IT Services,58.65,-0.02%,1.74T,11.61K,32.78,1.49,16.24B,19.05K,10.05,1.07,0.31,-,Strong Buy,Strong Buy,Neutral,Strong Buy,Buy,-0.02,-1.49,10.83,-8.85,-5.02,52.81,-4.16,0.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.67,47.66,-15.82,23.06,8.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.98,1.53,-1.98,-145.44,-0.27,-1.26,52.98,55.60,0.00,50.08,-71.18
12,Chevron Corp BDR,CHVX34,BM&FBovespa,Energy,"Oil, Gas & Consumable Fuels",90.5,0.7%,1.74T,51.25K,10.59,0.37,223.75B,32.85K,17.68,1.20,2.77,-,Strong Buy,Neutral,Strong Sell,Strong Buy,Strong Buy,0.70,-4.38,-2.59,43.12,40.54,98.38,40.04,3.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.17,61.48,-10.55,47.20,0.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.21,3.08,-8.41,-196.14,-3.87,-8.48,41.21,33.00,7.63,30.99,-86.60
13,Home Depot Inc BDR,HOME34,BM&FBovespa,Consumer Discretionary,Specialty Retail,60.88,2.23%,1.71T,9.03K,19.70,1.48,158.39B,19.56K,16.63,0.96,1.00,-,Strong Buy,Strong Buy,Neutral,Strong Buy,Neutral,2.23,-1.01,14.61,-23.60,-24.54,95.25,-26.08,1.65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.78,47.29,-29.03,28.74,10.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.76,3.03,-1.92,-56.53,0.00,1.26,53.33,34.66,14.55,61.38,-68.02
14,Facebook BDR,M1TA34,BM&FBovespa,Communication Services,Interactive Media & Services,21.2,-0.09%,1.57T,313.86K,11.13,-0.19,113.45B,539.76K,10.61,1.14,-,-,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.09,-4.03,11.58,-68.97,-67.88,-29.00,-67.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70.95,15.9,-70.12,33.33,26.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.26,0.82,-0.21,-42.27,0.00,-1.17,47.43,55.48,19.84,46.64,-75.71
15,AbbVie DRC,ABBV34,BM&FBovespa,Healthcare,Biotechnology,53.68,-0.19%,1.52T,4.32K,21.83,1.28,57.82B,3.76K,7.53,0.67,1.34,-,Strong Buy,Buy,Strong Buy,Strong Buy,Strong Buy,-0.19,2.11,11.21,17.21,27.78,221.05,29.10,2.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.99,41.22,-4.13,30.23,10.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.67,1.07,1.82,54.14,0.01,3.43,63.13,39.99,37.24,51.26,-50.22
16,Pfizer Inc BDR,PFIZ34,BM&FBovespa,Healthcare,Pharmaceuticals,65.4,0.55%,1.47T,14.99K,9.52,1.34,99.88B,29.63K,5.31,0.65,1.40,-,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy,0.55,-1.22,8.13,-17.92,-9.19,80.07,-9.15,2.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.93,54,-24.77,21.11,7.41%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.06,1.64,0.62,1.69,0.00,0.29,55.14,57.08,11.44,43.46,-50.15
17,Merck Co Inc BDR,MRCK34,BM&FBovespa,Healthcare,Pharmaceuticals,71.68,0.38%,1.45T,11.14K,16.24,2.11,58.61B,12.38K,6.03,0.39,1.31,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.38,0.49,9.17,35.54,44.95,174.53,44.56,1.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.2,45.12,-2.08,58.87,8.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.64,1.66,0.70,28.69,0.00,4.19,62.57,53.92,8.55,64.55,-32.41
18,Coca-Cola BDR,COCA34,BM&FBovespa,Consumer Staples,Beverages,55.27,-0.27%,1.43T,22.91K,25.78,1.06,32.43B,34.35K,2.29,0.58,1.44,-,Strong Buy,Neutral,Buy,Strong Buy,Strong Buy,-0.27,0.22,9.21,3.30,9.47,52.98,8.27,2.61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.89,46.81,-4.53,18.07,5.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.80,1.28,-0.01,-20.12,0.00,2.73,55.52,57.93,0.00,64.27,-50.34
19,Bank of America Corp BDR,BOAC34,BM&FBovespa,Financial,Banks,42.6,-1.27%,1.37T,9.46K,11.96,-0.33,92.36B,13.33K,3.18,1.39,0.78,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,-1.27,-10.15,-9.94,-29.64,-30.41,26.00,-31.00,1.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70.17,38.6,-39.29,10.36,4.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.88,1.44,-8.01,-214.30,-4.93,-14.75,28.73,36.88,0.00,30.69,-97.73
20,PepsiCo Inc BDR,PEPB34,BM&FBovespa,Consumer Staples,Beverages,63.24,-0.55%,1.32T,11.48K,26.60,0.55,83.64B,14.90K,7.03,0.60,1.11,-,Buy,Strong Sell,Sell,Strong Buy,Strong Buy,-0.55,-1.42,2.16,1.00,4.26,73.36,3.54,1.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67.47,48.83,-6.27,29.51,3.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.08,2.20,-1.68,-126.68,-0.31,-2.44,47.70,55.06,0.00,62.69,-59.24
21,FINOR,FNOR11,BM&FBovespa,Financial,Capital Markets,0.85,0%,1.29T,43.00,-,-0.01,-,1.62M,-,-,-,-,Buy,Strong Sell,Strong Sell,Neutral,Buy,0.00,0.00,-6.59,6.25,21.43,304.76,23.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.25,0.66,-32.00,28.79,-1.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.74,0.04,-0.08,-189.23,-0.06,-12.22,31.47,42.63,0.00,55.57,-100.00
22,Costco Wholesale DRC,COWC34,BM&FBovespa,Consumer Staples,Food & Staples Retailing,62.75,-0.33%,1.11T,10.81K,35.49,-0.33,154.86B,10.18K,13.17,0.72,0.32,-,Strong Sell,Strong Sell,Strong Sell,Sell,Buy,-0.33,-4.21,-1.46,-19.83,-14.38,111.92,-17.28,0.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.36,49.63,-22.87,26.44,7.88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.99,2.13,-7.35,-144.78,-5.03,-10.47,38.06,22.62,0.00,43.90,-97.48
23,Oracle Corp BDR,ORCL34,BM&FBovespa,Information Technology,Software,68.46,-0.41%,1.11T,1.52K,30.13,1.68,21.17B,1.52K,2.17,0.93,1.07,-,Strong Sell,Strong Sell,Sell,Strong Buy,Neutral,-0.41,-6.13,4.89,-14.84,-16.19,83.88,-17.98,1.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.61,53.27,-29.86,28.52,6.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.79,1.89,-3.65,-166.55,-2.80,-3.54,47.70,25.98,0.00,31.05,-99.17
24,Cisco Systems Inc BDR,CSCO34,BM&FBovespa,Information Technology,Communications Equipment,50.19,-1.47%,1.03T,1.95K,17.47,1.29,52.09B,3.49K,2.78,0.98,1.09,-,Strong Sell,Strong Sell,Neutral,Strong Buy,Neutral,-1.47,-3.28,10.43,-27.30,-20.22,40.43,-21.27,2.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.93,39.78,-30.22,26.17,7.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.75,1.87,-0.27,-125.95,-0.91,-0.59,53.33,30.68,0.00,39.40,-100.00
25,McDonalds Corp BDR,MCDC34,BM&FBovespa,Consumer Discretionary,"Hotels, Restaurants & Leisure",70.34,-1.18%,1.03T,19.36K,34.21,0.79,17.79B,13.59K,7.99,0.65,1.09,-,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy,-1.18,-2.90,-1.75,-3.43,-1.93,79.62,-1.73,1.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.12,54.32,-7.59,29.49,1.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.29,2.10,-2.29,-147.17,-1.14,-5.05,46.52,29.32,0.00,50.41,-93.25
26,Danaher Corp BDR,DHER34,BM&FBovespa,Healthcare,Life Sciences Tools & Services,49.69,0.24%,1.02T,3.52K,29.48,0.26,30.33B,2.26K,9.20,0.82,0.89,-,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,0.24,-3.14,8.83,-23.58,-22.10,128.35,-20.60,0.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.85,40.79,-25.67,21.82,8.73%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.42,0.90,-0.17,-77.99,-0.27,-2.99,50.12,65.66,12.73,47.00,-61.07
27,Abbott Laboratories BDR,ABTT34,BM&FBovespa,Healthcare,Health Care Equipment & Supplies,45.47,-2.34%,951.24B,2.32K,24.14,0.64,44.49B,737.00,4.47,0.69,1.69,-,Neutral,Strong Sell,Sell,Neutral,Neutral,-2.34,-2.61,7.01,-29.32,-24.56,60.11,-25.98,1.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.6,40.6,-31.73,12.00,2.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.62,1.40,-0.62,6.93,0.00,6.81,51.37,38.52,50.23,39.36,-50.05
28,Accenture PLC BDR,ACNB34,BM&FBovespa,Information Technology,IT Services,1479.13,-0.85%,940.27B,100.00,24.66,14.42,31.21B,128.00,10.87,1.21,16.92,-,Neutral,Strong Sell,Sell,Neutral,Neutral,-0.85,-2.07,7.25,-35.60,-29.17,78.61,-29.26,1.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2368.09,1300.99,-37.54,13.69,0.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.57,39.11,-55.81,-9.24,-14.75,12.06,48.97,47.18,51.56,44.96,-41.21
29,Bristol Myers Squibb Company BDR,BMYB34,BM&FBovespa,Healthcare,Pharmaceuticals,416.25,-1.87%,923.50B,300.00,25.63,11.95,22.84B,135.00,3.10,0.39,7.37,-,Strong Sell,Sell,Strong Buy,Strong Buy,Strong Buy,-1.87,-2.93,-0.06,20.00,29.51,71.04,36.87,1.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,431.76,302.02,-3.59,37.82,6.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70.89,9.06,6.82,37.19,1.26,12.84,57.52,73.79,3.10,56.70,-35.70
30,Nike Inc BDR,NIKE34,BM&FBovespa,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",56.5,-0.04%,882.26B,18.44K,29.95,1.71,37.17B,21.61K,3.58,1.12,0.68,-,Strong Buy,Sell,Neutral,Neutral,Neutral,-0.04,-2.55,17.98,-38.78,-39.63,41.60,-40.87,1.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.34,43.2,-41.96,30.79,16.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.91,1.95,0.01,-61.96,0.00,0.07,55.91,36.22,0.00,53.44,-73.04
31,Walt Disney Co BDR,DISB34,BM&FBovespa,Communication Services,Entertainment,31.89,-2.45%,874.72B,41.52K,56.82,-0.39,82.72B,116.31K,1.73,1.25,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-2.45,-7.08,4.83,-44.78,-43.44,-20.44,-43.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.72,29.75,-47.48,7.19,-7.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.05,1.25,-2.79,-181.19,-1.58,-2.77,38.16,39.72,0.00,46.70,-97.79
32,Wells Fargo Co BDR,WFCO34,BM&FBovespa,Financial,Banks,55.29,-2.23%,844.28B,4.69K,12.08,-0.33,73.79B,8.61K,3.90,1.16,1.05,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,-2.23,-9.09,-7.29,-15.69,-19.28,2.46,-20.27,1.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.1,47.3,-30.97,16.89,4.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.64,1.53,-7.56,-204.72,-5.37,-10.45,30.81,36.10,0.00,27.81,-100.00
33,Texas Instruments Inc BDR,TEXA34,BM&FBovespa,Information Technology,Semiconductors & Semiconductor Equipment,60.42,0%,820.83B,217.00,16.41,0.81,20.00B,865.00,9.66,0.98,1.17,-,Strong Sell,Strong Sell,Sell,Strong Buy,Neutral,0.00,-1.74,5.63,-13.09,-15.85,85.34,-17.56,1.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.14,50.85,-17.39,18.82,11.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.54,1.21,-2.12,-127.18,-1.44,-3.53,48.77,35.34,0.00,48.29,-88.23
34,Verizon Communications BDR,VERZ34,BM&FBovespa,Communication Services,Diversified Telecommunication Services,32.2,0.37%,812.58B,7.69K,8.23,-0.19,67.16B,13.52K,4.60,0.35,1.53,-,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.37,-2.84,-0.86,-30.79,-28.67,-19.01,-29.99,4.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.53,29.95,-36.28,7.51,5.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.56,0.83,-1.90,-141.43,-1.22,-5.60,39.18,23.09,5.57,39.85,-94.00
35,Amgen Inc BDR,AMGN34,BM&FBovespa,Healthcare,Biotechnology,53.14,-0.02%,793.68B,4.52K,23.01,1.15,26.19B,4.37K,12.54,0.64,1.00,-,Neutral,Sell,Neutral,Strong Buy,Strong Buy,-0.02,1.41,-2.08,17.20,24.74,58.44,25.15,1.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,39.23,-5.11,35.46,4.97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.38,0.97,-0.75,-94.77,-0.96,-2.08,53.46,24.15,12.79,35.45,-78.36
36,United Parcel Service Inc,UPSS34,BM&FBovespa,Industrials,Air Freight & Logistics,57.06,-6.35%,785.81B,11.00,14.03,0.90,72.11B,4.16K,12.81,1.09,1.34,-,Strong Sell,Strong Sell,Strong Sell,Neutral,Sell,-6.35,-6.17,4.62,-22.96,-20.79,93.95,-21.07,2.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,50.8,-26.85,12.32,10.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.12,1.03,-4.08,-244.43,-2.64,4.62,44.79,76.68,0.00,48.64,-100.00
37,Comcast Corp BDR,CMCS34,BM&FBovespa,Communication Services,Media,35.98,-1.02%,779.11B,4.98K,25.98,0.81,120.50B,15.68K,1.21,0.99,0.77,-,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Sell,-1.02,-4.23,10.50,-34.81,-31.66,1.93,-34.71,2.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.46,30.01,-37.38,19.89,15.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.70,1.27,-1.03,-150.81,-1.10,-2.10,49.63,17.91,0.00,26.77,-96.83
38,Morgan Stanley Bank AG,MSBR34,BM&FBovespa,Financial,Capital Markets,90.93,-0.8%,767.85B,954.00,13.16,1.36,55.25B,1.53K,7.01,1.30,2.19,-,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Buy,-0.80,-5.73,5.37,-9.15,-17.91,132.56,-19.30,2.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121.66,73.53,-25.26,23.66,11.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.84,1.31,-5.60,-268.87,-4.13,-5.85,44.98,43.82,0.00,31.31,-96.72
39,Raytheon Technologies BDR,RYTT34,BM&FBovespa,Industrials,Aerospace & Defense,85.8,-1.52%,758.74B,1.36K,31.64,1.98,49.48B,1.89K,3.01,0.80,1.83,-,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy,-1.52,-0.37,4.54,10.58,9.78,33.40,9.75,2.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.08,70.72,-3.68,21.32,3.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.18,1.27,-0.41,-36.71,-0.51,1.55,54.15,52.59,0.00,48.06,-65.47
40,Fundo de Investimento da Amazonia,FNAM11,BM&FBovespa,Financial,Capital Markets,0.36,0%,748.78B,9.51K,-,0.01,-,1.16M,-,-,-,-,Strong Buy,Strong Buy,Neutral,Strong Buy,Strong Buy,0.00,0.00,2.86,80.00,100.00,157.14,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.45,0.15,-20.00,140.00,-7.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.73,0.03,-0.02,-73.68,0.00,5.88,51.17,59.52,28.39,71.28,-42.86
